"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient", "Heat_Flux"
25551, 9.979658291400000e-01, 2.881794857100000e-04, 1.157722412997974e+05, 2.203480424813399e-01, 1.407468341678123e-03, -6.966590487228874e-03
25326, 1.000000000000000e+00, 5.352202629500000e-08, 1.158538126269865e+05, 2.380708836261776e-01, 1.141353840825943e-05, -3.029184545318631e-04
25777, 9.957820729200000e-01, 5.967886532400000e-04, 1.157320076410572e+05, 2.116065549133294e-01, 1.193209641841790e-03, -5.866074512747468e-03
25778, 9.979658291400000e-01, -2.881794857300000e-04, 1.158054045359310e+05, 2.275533532945662e-01, 1.698599897196792e-03, -9.975719637576113e-03
26005, 9.934384637900000e-01, 9.270488596800000e-04, 1.156887235544653e+05, 2.022023069109635e-01, 1.043777456321909e-03, -5.242114387405053e-03
26006, 9.957820729200000e-01, -5.967886532800000e-04, 1.157597146943699e+05, 2.176264116617187e-01, 1.554718416075202e-03, -8.565037875900079e-03
26234, 9.909241438000000e-01, 1.280289614400000e-03, 1.156453746911142e+05, 1.927839849900901e-01, 9.995555623984196e-04, -5.140947613353873e-03
26235, 9.934384637900000e-01, -9.270488597400000e-04, 1.157117812918482e+05, 2.072120159702446e-01, 1.402358236771432e-03, -8.105524159480433e-03
26464, 9.882276487600000e-01, 1.657893415800000e-03, 1.156034535782938e+05, 1.836758676070013e-01, 1.024086462023629e-03, -5.599017267771377e-03
26465, 9.909241438000000e-01, -1.280289614500000e-03, 1.156655613977632e+05, 1.971699108724585e-01, 1.349819699966580e-03, -8.216803441044307e-03
26695, 9.853368952900000e-01, 2.061293361500000e-03, 1.155629711483186e+05, 1.748803300041456e-01, 1.078065109634788e-03, -6.360851074786050e-03
26696, 9.882276487600000e-01, -1.657893415900000e-03, 1.156223741842280e+05, 1.877867102877911e-01, 1.373383482327266e-03, -9.066059503838051e-03
26927, 9.822391712300000e-01, 2.491969834800000e-03, 1.155231763439202e+05, 1.662341914521898e-01, 1.138289197038446e-03, -7.215303943372497e-03
26928, 9.853368952900000e-01, -2.061293361700000e-03, 1.155820720055995e+05, 1.790303355389944e-01, 1.429514904552790e-03, -1.027373923821352e-02
27160, 9.789211302800001e-01, 2.951446198200000e-03, 1.154834466050260e+05, 1.576021895538311e-01, 1.196864595968258e-03, -8.098220398710745e-03
27161, 9.822391712300000e-01, -2.491969834900000e-03, 1.155435484084945e+05, 1.706603896848753e-01, 1.491642322273808e-03, -1.163235883956443e-02
27394, 9.753687917200000e-01, 3.441283349800000e-03, 1.154434398892170e+05, 1.489100094282420e-01, 1.253021273163075e-03, -9.003804673682716e-03
27395, 9.789211302800001e-01, -2.951446198400000e-03, 1.155060337073228e+05, 1.625096446575226e-01, 1.551136788095243e-03, -1.305587861723499e-02
27629, 9.715675460800000e-01, 3.963073044600000e-03, 1.154030436370214e+05, 1.401331955013310e-01, 1.307541525594189e-03, -9.944026935517611e-03
27630, 9.753687917200000e-01, -3.441283350000000e-03, 1.154691350721599e+05, 1.544927510750645e-01, 1.607044295045130e-03, -1.454577877754160e-02
27865, 9.675021678000000e-01, 4.518429822000000e-03, 1.153622805150767e+05, 1.312766725086479e-01, 1.360991229913141e-03, -1.092894668314763e-02
27866, 9.715675460800000e-01, -3.963073044900000e-03, 1.154327479728500e+05, 1.465869978770507e-01, 1.660036515473164e-03, -1.610768064089757e-02
28102, 9.631568360200000e-01, 5.108981458300000e-03, 1.153212191590529e+05, 1.223553527866595e-01, 1.413730604533796e-03, -1.196514682862874e-02
28103, 9.675021678000000e-01, -4.518429822300000e-03, 1.153968934735838e+05, 1.387969616385908e-01, 1.710750501496551e-03, -1.775831254515987e-02
28340, 9.585151646400000e-01, 5.736357800800000e-03, 1.152797748533238e+05, 1.133508303385595e-01, 1.465853787759223e-03, -1.305723928588767e-02
28341, 9.631568360200000e-01, -5.108981458600000e-03, 1.153615739119751e+05, 1.311231502483923e-01, 1.759757251508909e-03, -1.951001205441286e-02
28579, 9.535602429200000e-01, 6.402177879700000e-03, 1.152379943783009e+05, 1.042732690519674e-01, 1.517464904973568e-03, -1.420631114294151e-02
28580, 9.585151646300000e-01, -5.736357801100000e-03, 1.153265391024840e+05, 1.235112063883831e-01, 1.807265736099502e-03, -2.136899241019318e-02
28819, 9.482746880100000e-01, 7.108035234500000e-03, 1.151959734775973e+05, 9.514347095261486e-02, 1.568673794539244e-03, -1.541308325597267e-02
28820, 9.535602429200000e-01, -6.402177880100000e-03, 1.152918180515642e+05, 1.159674322334349e-01, 1.853664222310500e-03, -2.334321640542478e-02
29060, 9.426407105900000e-01, 7.855481326700000e-03, 1.151536157584746e+05, 8.594049298058568e-02, 1.619343183251663e-03, -1.667902656170065e-02
29061, 9.482746880000000e-01, -7.108035234900000e-03, 1.152574659024798e+05, 1.085038086516412e-01, 1.898992428562307e-03, -2.543464624548070e-02
29302, 9.366401951700000e-01, 8.646007048700000e-03, 1.151108628410782e+05, 7.665165106019749e-02, 1.669614649021408e-03, -1.800792897734254e-02
29303, 9.426407105800000e-01, -7.855481327100001e-03, 1.152232865726500e+05, 1.010777331679454e-01, 1.943288515621782e-03, -2.765019347976863e-02
29545, 9.302547962800000e-01, 9.481022246799999e-03, 1.150676456651360e+05, 6.726194060253994e-02, 1.719554757891025e-03, -1.940115503121551e-02
29546, 9.366401951700000e-01, -8.646007049100001e-03, 1.151891912073657e+05, 9.366990049520320e-02, 1.986769481480294e-03, -2.999837491979673e-02
29789, 9.234660517700000e-01, 1.036183331200000e-02, 1.150238798191047e+05, 5.775302167832374e-02, 1.768976337237837e-03, -2.085509825944991e-02
29790, 9.302547962800000e-01, -9.481022247400000e-03, 1.151550834750032e+05, 8.625938085183438e-02, 2.029525057473413e-03, -3.248321233877791e-02
30034, 9.162555145100000e-01, 1.128961885900000e-02, 1.149794952197040e+05, 4.810966743164282e-02, 1.817920861327142e-03, -2.237129632109558e-02
30035, 9.234660517700000e-01, -1.036183331300000e-02, 1.151208736620875e+05, 7.882668236827722e-02, 2.071273192198472e-03, -3.510432361082224e-02
30280, 9.086049032300000e-01, 1.226540359100000e-02, 1.149344466460532e+05, 3.832205281107147e-02, 1.866536945876197e-03, -2.394782128699084e-02
30281, 9.162555145000000e-01, -1.128961886000000e-02, 1.150865385848237e+05, 7.136676794721826e-02, 2.112339153728931e-03, -3.786735605935532e-02
30527, 9.004962734900001e-01, 1.329003047500000e-02, 1.148887192563544e+05, 2.838695316848331e-02, 1.914523674407203e-03, -2.557696722454684e-02
30528, 9.086049032300000e-01, -1.226540359200000e-02, 1.150520504364718e+05, 6.387359607319376e-02, 2.152742826228025e-03, -4.077350463900465e-02
30775, 8.919122087700000e-01, 1.436413140600000e-02, 1.148422816937273e+05, 1.829755565647449e-02, 1.961977018294943e-03, -2.725134562194201e-02
30776, 9.004962734800001e-01, -1.329003047600000e-02, 1.150174414088853e+05, 5.635416100661281e-02, 2.192063962610308e-03, -4.381234761643640e-02
