"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient", "Heat_Flux"
25551, 9.979658291400000e-01, 2.881794857100000e-04, 3.874778037889691e+06, 2.948988974216650e-01, 1.931033674753847e-02, -2.536451369810627e-03
25326, 1.000000000000000e+00, 5.352202629500000e-08, 3.874794406364328e+06, 4.149768108215869e-01, 1.289767539723635e-06, -1.367303685330032e-05
25777, 9.957820729200000e-01, 5.967886532400000e-04, 3.874777148292185e+06, 2.883728762324173e-01, 2.696498223626004e-02, -1.652853427057097e-03
25778, 9.979658291400000e-01, -2.881794857300000e-04, 3.874778328069414e+06, 2.970276343024243e-01, 1.954172450243478e-02, -2.510299283273281e-03
26005, 9.934384637900000e-01, 9.270488596800000e-04, 3.874775931084709e+06, 2.794435326570008e-01, 2.843244652540310e-02, -8.667196701748885e-04
26006, 9.957820729200000e-01, -5.967886532800000e-04, 3.874777243975462e+06, 2.890748016454026e-01, 2.697286589998817e-02, -1.638420287402988e-03
26234, 9.909241438000000e-01, 1.280289614400000e-03, 3.874773436227932e+06, 2.611414487627578e-01, 2.683135081352732e-02, -4.518871717223598e-04
26235, 9.934384637900000e-01, -9.270488597400000e-04, 3.874775976983258e+06, 2.797802409962572e-01, 2.843001871805391e-02, -8.532192333441570e-04
26464, 9.882276487600000e-01, 1.657893415800000e-03, 3.874770672169712e+06, 2.408645230897881e-01, 2.435463417578269e-02, -4.671368172195937e-04
26465, 9.909241438000000e-01, -1.280289614500000e-03, 3.874773458078279e+06, 2.613017412813623e-01, 2.684885423932064e-02, -4.413781143110377e-04
26695, 9.853368952900000e-01, 2.061293361500000e-03, 3.874768460471639e+06, 2.246396704078431e-01, 2.244417488268092e-02, -5.747132694966281e-04
26696, 9.882276487600000e-01, -1.657893415900000e-03, 3.874770677054633e+06, 2.409003585107079e-01, 2.438565945155208e-02, -4.567487307588886e-04
26927, 9.822391712300000e-01, 2.491969834800000e-03, 3.874767149615640e+06, 2.150233282203380e-01, 2.162936755818138e-02, -5.617067636172407e-04
26928, 9.853368952900000e-01, -2.061293361700000e-03, 3.874768449900644e+06, 2.245621223738584e-01, 2.248151100920814e-02, -5.641407900864281e-04
27160, 9.789211302800001e-01, 2.951446198200000e-03, 3.874766650838519e+06, 2.113643363319856e-01, 2.168624754778939e-02, -3.466822583555191e-04
27161, 9.822391712300000e-01, -2.491969834900000e-03, 3.874767125371015e+06, 2.148454714523575e-01, 2.166888883463806e-02, -5.485090010106670e-04
27394, 9.753687917200000e-01, 3.441283349800000e-03, 3.874767273288870e+06, 2.159305858469774e-01, 2.209364506167528e-02, 9.346624004026170e-05
27395, 9.789211302800001e-01, -2.951446198400000e-03, 3.874766614321058e+06, 2.110964469533848e-01, 2.172575029659205e-02, -3.299029334954325e-04
27629, 9.715675460800000e-01, 3.963073044600000e-03, 3.874768576119489e+06, 2.254880544341065e-01, 2.245573588541615e-02, 4.879557902188292e-04
27630, 9.753687917200000e-01, -3.441283350000000e-03, 3.874767233936124e+06, 2.156418970221061e-01, 2.213249561837588e-02, 1.172854809277808e-04
27865, 9.675021678000000e-01, 4.518429822000000e-03, 3.874770791101480e+06, 2.417369977005592e-01, 2.265579541911430e-02, 1.457467576320286e-03
27866, 9.715675460800000e-01, -3.963073044900000e-03, 3.874768540494233e+06, 2.252267102062772e-01, 2.249434040153077e-02, 5.136068689479758e-04
28102, 9.631568360200000e-01, 5.108981458300000e-03, 3.874773737885877e+06, 2.633543890268429e-01, 2.275352384934651e-02, 1.927314166400622e-03
28103, 9.675021678000000e-01, -4.518429822300000e-03, 3.874770757770407e+06, 2.414924834270765e-01, 2.269423450862539e-02, 1.503162818043206e-03
28340, 9.585151646400000e-01, 5.736357800800000e-03, 3.874778652779788e+06, 2.994096854746587e-01, 2.283571678646784e-02, 3.522259154904645e-03
28341, 9.631568360200000e-01, -5.108981458600000e-03, 3.874773728494246e+06, 2.632854927164178e-01, 2.279207025125530e-02, 1.959855475676911e-03
28579, 9.535602429200000e-01, 6.402177879700000e-03, 3.874783101024397e+06, 3.320416773232616e-01, 2.294084645410839e-02, 4.490746629933370e-03
28580, 9.585151646300000e-01, -5.736357801100000e-03, 3.874778650801581e+06, 2.993951734957626e-01, 2.287420798321385e-02, 3.588935159259991e-03
28819, 9.482746880100000e-01, 7.108035234500000e-03, 3.874787243039907e+06, 3.624271952633698e-01, 2.306245085075674e-02, 5.284452350906517e-03
28820, 9.535602429200000e-01, -6.402177880100000e-03, 3.874783129096675e+06, 3.322476134683933e-01, 2.297939198031830e-02, 4.529956991741991e-03
29060, 9.426407105900000e-01, 7.855481326700000e-03, 3.874792555910700e+06, 4.014020205377998e-01, 2.318515240797975e-02, 8.238511752486273e-03
29061, 9.482746880000000e-01, -7.108035234900000e-03, 3.874787298811853e+06, 3.628363341105474e-01, 2.310110650590472e-02, 5.290421732535454e-03
29302, 9.366401951700000e-01, 8.646007048700000e-03, 3.874797103105232e+06, 4.347599016618601e-01, 2.329787085448165e-02, 6.791204176569109e-03
29303, 9.426407105800000e-01, -7.855481327100001e-03, 3.874792593948295e+06, 4.016810615033442e-01, 2.322281013474271e-02, 8.285851796221358e-03
29545, 9.302547962800000e-01, 9.481022246799999e-03, 3.874807467946541e+06, 5.107956071748073e-01, 2.341217489609229e-02, 1.097922192283906e-02
29546, 9.366401951700000e-01, -8.646007049100001e-03, 3.874797240472638e+06, 4.357676187457444e-01, 2.333571900878890e-02, 6.822766197448311e-03
29789, 9.234660517700000e-01, 1.036183331200000e-02, 3.874810056806620e+06, 5.297872923029213e-01, 2.351762200754243e-02, 1.188304057220276e-02
29790, 9.302547962800000e-01, -9.481022247400000e-03, 3.874807535928695e+06, 5.112943192037377e-01, 2.345100774063089e-02, 1.118342860137381e-02
30034, 9.162555145100000e-01, 1.128961885900000e-02, 3.874826546585832e+06, 6.507550870452047e-01, 2.362475694523421e-02, 1.449537877981909e-02
30035, 9.234660517700000e-01, -1.036183331300000e-02, 3.874810171623541e+06, 5.306295807007168e-01, 2.355584826778184e-02, 1.186291660388435e-02
30280, 9.086049032300000e-01, 1.226540359100000e-02, 3.874828137077204e+06, 6.624228135462428e-01, 2.372159950749323e-02, 1.604979993850307e-02
30281, 9.162555145000000e-01, -1.128961886000000e-02, 3.874826736125068e+06, 6.521455327936814e-01, 2.366227270573276e-02, 1.455418376606696e-02
